標題,連結,來源,時間
韓國暴雨：仁川機場25航班停飛 包括飛往中國江蘇無錫航班,https://news.google.com/read/CBMimgNBVV95cUxNakFzQkpHQzVPQnpJVEZvVnFuX0gyejBlbVFubnJuVUtnSW1TeHhvT1FtY3B1eXRYSnMtTElZWS1DaXYtdk83MG1ZdzN4VVduc1N0Y3RocU56b1ZnbEtMalpTQXNDZHlkeDR4TFV5cTZxWWZCQkVjYW9ZYnpadHF5VnhrQko3MEFZT1JUY2t5UndFT2t0d0Q4bnU2WVk2Ty1TZ0VZWl9NZm9rLVFCTGlLWkt5QlkxeUJkdUt1eElCS2lwT2RKS3R6d2ZraHdhZE5LQ09TQTdjT1AwTDBpNDdSQmhLeHZoWlV0RVB2X3FwaUpsV1lxOExqbUMxX3RVUzhLMy1tUUZCLXhZT0NtQ1ZlTWQxRjBDNlExYlMta1RnbGJERmtURkRSN0xoNnZuZUlaYWNvaFJvQTdlX2hSSFdRY0cydklhdFU4cUJCOWpVV3FmXzBBMU8zUkxjdDVIQVFMLTZqZktwUU95VEVxUmFxdExDb0R2YV83MmIyYndXN3ZocUs5TFNLQjFmMmtxYldsMGUtd05YSTkwZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,香港01,7月18日
印度西南暴雨釀山崩、橋垮 至少123死、上百人仍受困,https://news.google.com/read/CBMiywJBVV95cUxNNWg3LS1ra3NrXzNyQ3gwbzZ2emdJNHowZXJkWlVmRXRRTDQ1UlI2dUI2eDg4RkhYWWZMczFTY3dDaVN1cnFpczBQZXJlVkFmTENZRE1GRFBhaE5aQU41SjlMdV9wQ0lmSWUxNXBPVy1uT205dWdUUHF1Y3RyTEltQ2RCR0c0SFRTZF9uLWpYLUpUdG5tWmQtMmhMZHFYRXNmN1ZRbnVKYk5ybE8xc1hZd180ZkFTOXJIRl9yOGl1dm5mQ2NraGE3WmhoaTFLVVJMOGdmcnV3S2hOcEZ4Q3JPdjdwTE84eDVQNkpmc1piTFNSTTBaRnpvZ1V0ZGdqUzFHNUpUQXJZbFZUU2FYNHo0T01DQjhNRlB4WlZfVzRGOXQ5SmxGZGRNOTctRDlLQmx1VHBLOWphNFZRZ1dVUDRxRlgtb3VGTkRkbGs0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,7月30日
【國際新聞】印度暴雨引發多宗山泥傾瀉 多人死傷,https://news.google.com/read/CBMiV0FVX3lxTE5iaklyX0pRMXlVa2pZdWlSS0NiVjBobk5TNm1Qbjc0ZjMzT1FwQWJDNG93a19iLVVjOFVlOGk4UnlJdGQtZi1hRDN3MHo2WXotQ1lqNjg3MA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,KTSF.com,7月30日
重慶暴雨6河超警戒| 國際 | 2024-07-14,https://news.google.com/read/CBMinwFBVV95cUxQcVRWdTQ0TUF6bnM1TGxOcERWSEdqMGxzUmc3Y3BGcnpiRmVmM1UwdnlkaHZKZEJSb2dSWTVYQ3lKUXJXNDREd0JtOFdSRlpmVFg0dTRlWVl5cy1pSVk4b2hlUTFaTWN1NHRBM1hFM09lRnEyaFNzTTFmdEo3dExfaFpYMjhDMXNpSmtjWGE3TXV0OWRjSzBIaWt0TDRBelE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月14日
日本東北持續暴雨 數千人疏散,https://news.google.com/read/CBMiYkFVX3lxTE0xVjNLN2dIMjFNd0JlVEt6OEs0c09xcm5aaUdFX25yUC1vdTRxRVBtVmxJRThKajZxb08weGxkaHNnUnRQZDkzUnk2SV9kNWNQQk5QbFlfcTRLQkNpNzVWNFlR0gFnQVVfeXFMTjMzVWxhaWg2VUsweHMwbFNNSWlhY29JMjJRM2VVd1VHNVVSRE1ubmtMVXdmMVJpWXU0empvT0pzSk90a080R2hpbER5Xy1nWmttRld2WTZnSDBTbXVrUXQ3cllxZThVbw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,世界新聞網,7月27日
凱米重創亞洲 菲律賓暴雨成災 水深及頸 馬尼拉進入緊急狀態,https://news.google.com/read/CBMijwNBVV95cUxNN3B1R05DYW4wSUdmQy14bkQ0cGJHZVFYYlpBZnNzRjRJTk9yb2tkbDZRYS16bVBuSEhvWmN0MEhKVmFvWHJVdXV1V2VSU1JFSnpFLWFRams4ZzdfdWh4RjMtVDRwZkhaTEVrMG1OMm15NFFHanNDMWFVVHVyVFp0N0ZIVE5iT1ZucmhPZFN4SzFTY2d3ZDh5OWZJbXJ2VnM0SEp3SUpBeDZYX2pDUGVQZ0t3aWp3Q21qQmdkdGw5YUxvM2hteGZ2QlU5SjJrcFZIVVZoX09BejlKRjdjV1o3bllSSDhIZjQzeDgwaEZvUGdid19kU2M4NWlxS1NfQ2EteDJsdnNVRHAtWUxWdlA4dThzU0FaOGJHdi1zRF9HRDFLenM5UVVYU0xoWEdtaUdkWVpza3VTVFV1ZDM5QnNaTG9GQ2xvcFB1ZlA5QlhBMHN5ZHNfdGFYLXc3aWRuUlB3TkdvYnpGc1h6cWUtTmx6d2U3czJldkg5eWRJMkJMczdGYTJwUkk4anFjZjdrSG8?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,7月24日
首爾發暴雨預警全市進入防禦狀態| 國際 | 2024-07-17,https://news.google.com/read/CBMi_wFBVV95cUxNSVdfZmZSRjUwTmt6TXRjdXpHVVpHNzhkeUpYakt2am4xZHEtT2dJeFBfOXJJLVVab29tLVBCX243M3NBRUVlTTVVWFZxNHhlcnRQdldGVTVXN01mNlE1d0JkZEVSSXh5S2ctTDVuX05RV0lFSGpBaUJIVGhLTGhhMDd0cWRsM25WLUM5a1MtOU9MSXdqa2Z0b1hqZ2JVUDhsRVRyd0xFTGJGbEdGczhhdWVBLVUzdGN2akJVaFlXX1dMMlVfODNkbkg4V0Q3VlBGTm9iMk1sSmN0aFk1TFFnUTNhZ1lZOHk2d2o0V3RjaVlJcFU5d1ByLU1rb3FaUTA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月17日
首爾市首發暴雨預警全市進入防禦狀態| 國際 | 2024-07-17,https://news.google.com/read/CBMiiwJBVV95cUxPaUtVZUwtTE1ITmdQNDktWm93VlgyZ0sxOEJzRDk4M0RNQWV0a0VETlBIQkF0RURNZ2hUVU8yd1dQOENUUGtVYTFPQ2FSUGFydExJRFpabkpvTVQtNVR6S1RjSE5oT1lFZE9GaUpSVVpod1puLVg3X0Fma09rSy1Oc3hyMUdhdjBXREdwN0xiQXJMVHJ1V3c3T01rdHV4WFdrWWRWb3JTUnZaV3hGczFQVExlZ3RkVnluNkp2Y0tqUzZfanVRdllXaUdyM1hpcWxJV2lCSVNwUlF1QkdrR19ZMmp2c0JLLW1fa1hvSEFUQnlzQmk3Nmo1WkxFTTdKYVBJV3JWOG1zbWxobEk?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月17日
豫發暴雨紅色預警鄭州等地啟動防汛2級應急| 國際 | 2024-07-17,https://news.google.com/read/CBMipAJBVV95cUxPVXRQNmxZbFZ3STlkNlFJVlZMNlA3N0tLQ19aRGpkREpaWVBOVWo2WUxfclZVWFE4Qlh0Yi13b3JZaFJZVndPY2ZRb0Zpajdvb2wzdkttNUk4RGN1UkhMM3F2Uk5JREVXeEJGakxpUkRqR0hGT0wtY2pvelBzcUpySzM3em5KejVzYlpNeVg3Mmh3QWNLZk9uSEtMMXZGUVdaZVEwWlRNSkRvdlo0dVd1TC1lbUd4V3ZtdmlIdU1RR1lHU2VzMkNhMG9VTXl6dklDVll3MkI2Mnk5UWtEWUFmYWZWT0swQTJQTU9wQW5mTlE4OEZ0RnRsaThpZk9LTVFEZGp6SG1iRHp3MDRVTElzdjBWXzYwYVNQN1hOMFlrUmRIMzY0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月17日
暴雨洪澇逾2千萬人受災中上月315人死亡失蹤| 國際 | 2024-08-10,https://news.google.com/read/CBMinAJBVV95cUxPMElhVzFrZlhwa1hCTEUxMEVZVUhsRXFJRE51Q1ZBUVh1TzRldW1zdldGckEtVUp4WXo2cld3UVR3b0RyOENnbGt2dkdseVVQa2h1aEhhZ2JmcUpnM2oyMWZwZTdoYXlvckR3WVRKR2ptbHhyQkUtYk4yNG01bk1XdTZYaWcwNUJLTzdCaWc0NmlQOVMzblZoLWpCclJVMWQ5YlF6TE5LeWVDUjduUzJwc2JRamFMVVp3Nkx3VW00Z1BseEE4VHhMcjF4amRJampmRElNTk5hUzlEelpYckhybzhJQlVndE9vZUlvY1NtdGdRQ0VXSmRodXdFeDJ0bHpia0lCYTBXLWRCZkZoM0FOQTY2RzNmX0pQNXdReQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,2 天前
颱風掀強風暴雨台鐵電車線脫落土石流淹鐵軌| 國際 | 2024-07-24,https://news.google.com/read/CBMisAJBVV95cUxNSjl4TVJUZ2hpYTJTbFA1eWJzdXdrUm5qQkFvd19KNk55ZEhBd2h2MExHWjFTMkE0M214LWxCU09paFIzeFlBYjdUcXZXR1V6TDI3MGZUV0tENjJRc3FGdHRPcXA0SWp6MXJYcUdTeWljaFNIekRNUGdlSi0yNXhPeDc4b3BvXzZqZEJvMmx3eWNMUFZSYmhwZzAtSEhmMlpGb3o2TEVNSERkM05ubmQzc25xcmd1cW52QWp6VlJiSURLdjlXV1dkMjAzY0t0clNPMnRxVWhDZHpEa3E1Y0lBOW9CME1OZldYU0VCUnhiV29JMk1GcmdJS1k3VlJyU1J5RjN3bEFJR3dsMGZEa0ttQ0ZaTjhUQ0d3NUN0Ql9rVnc3M29DM0xxM1RQT0s0aVdX?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月24日
河南極端暴雨居民一覺醒來床在漂| 國際 | 2024-07-16,https://news.google.com/read/CBMi8wFBVV95cUxOc2VmUG9xRXN1X2pRWVpoaUNjS2RKTGZwUG1Cb0lZSWZ4dTZ3UVJiWjVWNTMzT2xZTHhIaEluLWRRcGc4eE5WWGJEejRkbGczamwycEpoTHZ2TExwLUk2VENoX0phQjdHb1JhQ1hFWGhyTGVYemlKcU1HRk14elZNLTBvWHlrNkZvaktqaTY1TXpjaExPSnFiTFgwaDh4ODR1aTZDaXVaWFBUc1JqaGpGTnNkTlVSdWpJRHhibjI0NXdoSmtHWjBqLUdISEkwT3V2V0JGS2cwVG5jSDFodlZDZDJLeWdlSjNjZ3htY3RacF9IVnM?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月16日
印度喀拉拉邦暴雨引發山泥傾瀉 增至270人死亡,https://news.google.com/read/CBMivAJBVV95cUxORFdFcnBLSDdvaUtNQ0hDa3hXR0o5cjR1SnBjQlM5OWJEOVRkUmpuNzBSVHNEQ05tMGl1OW1aZEdia3Z0VEZhUHNfcV9aYkZXaWxLMkktNndmMXJhaW1ZMHpGRFhUNkZRLW1scks4U2UtZnlDS1duU0xUc28tNDZUbVpWdFBYWXFSazZrQTZXM2RyNjV2ZVJnZlU1SldJSEU2M0gxYTVmS3YtckQzNEtMQXBBTUFwc1phNWhxWFBOMWg1RDhzWUdkTTl4ZGE5ZWZkbjlfa3FjWVRpd3RvRHViZGJSenA0SjFjT2RuVFFEaU8wWUxqNHlTclBhLWV0S3dtdEJvcXJkTjhwcnk2MGlicEp0Z1A3RmNCWmFHdklWbURHSl9sVVk5NU9GaU1JV1dDOW5uMzBaaGMtODRr?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo新聞,11 天前
韓全羅南道暴雨多地被淹| 國際 | 2024-07-16,https://news.google.com/read/CBMiwgFBVV95cUxPeGxrSDZQZHpYZ0JCcWdCQU80WFdtam5xX1FaZ2pRMlc0S0xVWEtULVIyYWJMaG9val8yMFBicTN2eWVWVjVSeDk2eTZSWlV4SzkyUnBRNm1BcHZHLVI0Um1NTzZTQWxSVjROOGx0ZXB1dVJqMmxJVUFCamJtaFFLZWd0T2hwVXB1TU9GN3k3RS1NbWp4WDVDcHR6RzF5eDJic3gtdXk0VVRfby1KeGVkREV3TC1xZW1Iam40T2R2bDRpZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月16日
首爾「極限暴雨」｜南韓仁川機場25班國際航班取消,https://news.google.com/read/CBMi5AJBVV95cUxQWGJNeDJpSWp2MlR4anJPOHpaaHhRemFCQTc3QlZhSTIxa1FLMXZjQ1lPU2I4WFdab1FKb2Z0R3FXajRkMjFTVWluOEpuWnk2NjhDY0l2c3cyZDlONFJrbnZWZG9KRk5GSHBqU0F0Z1R0YUk2eGpIcVZjV1ZTWlZHNW9oS24yYTBBVjF4Nm8yNVI5TFpKM1kwZVQ5ZTFjQWhZLWx3LTlqeFZmYWU0M1ZJQ2hUa0tBaDc3ajJsbV94Z0VOMFJCdVJUWE5SclFOa3kyWjh2X21tWmJzZlpmRlY2NS03X0RZRzA0VFZrZFdxTzFuaXI0VFRRZ0hxNWFQMERnVzZlZmh1dlNuTTJXdWVXRWpDdndXeW94OVJWWHRkSkppQ0s2YzhmMkpGak1pYkhMT0VTaHBPdG5vNHRKbEFKRlo3bllXOTJia1RpRDA1SFEtTWlGZkhIZ05ndUp0YWZic2RmRg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,星島日報-美國版,7月17日
南韓暴雨持續 仁川機場最少25個國際航班要取消,https://news.google.com/read/CBMia0FVX3lxTFB3Ry1zQWc4dTY5SWFNcnM3VWRqYV9Cd3NERGpvS3Y4OTY4cE1ZOElrX1FlWm9Ic1owSEhualVnLXl6eGU2bFdiLU9DVWtjNklsQVphVlZsRXpUTkdDTU9tdTMtblF4YnJ6aVg0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Now 新聞,7月18日
受暴雨影響仁川機場至少25個航班取消- 國際,https://news.google.com/read/CBMiekFVX3lxTE1fUFZSbUJ3QjR3dGxnLW5oenV0X3F1SkVMN0g4eUNMRFJuZVVmeW5Pc21FdlV4clIwZjJSV1RJd2xHX3pFUExGeG1BOVRBVHFpWFpUckdfZDhtc1JjXzNRczg0UUdsSzB2QjJZUi1acFgtdGFGS0xibTh3?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,點新聞,7月18日
北京料降30小時暴雨多景區閉園啟動防汛四級應急響應| 國際 | 2024-07-24,https://news.google.com/read/CBMivwJBVV95cUxQSG50ZUhvM3ZRM2pRNWFCaVZKeUZxMlY5TjI0RV9qd3JMUGpZOWdwUUowWWxPaW56MFZ5MEhZZHMxQTkzZ1l5bFdfcVFOaG9ialIwcE5ndm5JSVhBeE4xS2dXZks1MTBDTl9DYk91QVEtdEh3N3pRck1XUXZpVmtvNjd5MWVENDhOY1RiMVhxTllPNExvRVRYSWNRQzQ4dzFId2M0Zm4zdTRXSDBFQy0wV2pWVEVPWi1RMGNPclNYQnMwMjRfaDZTNU9BQ3lzSGltbmZseWVqd3J0U2Y1d0h0VmZIZi0tbkFwN0pWOXZXQVE4bjgxRjlGZU5oSjFGZk5CZDFLU1A0NG0xeWZrZ2lKVjRoak5OczRRSXhkcXhyMXJJc1Z0S21hYnJqM0l3SDFFQk9ZdkpWUG1udjJiY3VJ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月24日
中國暴雨8村斷路斷電斷網失聯 網驚：不是有華為5G全覆蓋嗎？,https://news.google.com/read/CBMihwFBVV95cUxQMHdocHBSVXgxVzVrcS0teDBCZUcxMmNLb0hqMGEwVlk3eloyaHlHTk9kRl84Z0c3bk5ObW9RUnhLYk9tVmVtaGJZT29RUGhzVmRhZUdnbzhKQUEtLXVjQmEySWJIanBES1hYRTNzRzdDTENXWjhKeGszSEFXRDk3V2NpcTVqOVU?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,壹蘋新聞網,7月29日
日東北持續暴雨 數千人疏散 - 20240727 - 國際,https://news.google.com/read/CBMioAJBVV95cUxQaTFTSVJWMWZOeWpHVEc3eUNKRjBPa2VWRXhMc0xFRU52bXA5OWl6VjFZd1EzWVlaNS00TDdpeWljY0RVTHBEczFPb0wzY1RwVkpjUTVqcDZGaGo2RjU2TlBGMUxMRXBQMXh1bVo1UmhfUWJ0ZHBweXV2cGNPWXItcmVUeTA2MWpWN21MdkYxZDZydGZMUk1qZE9FcWw0Y2pQdWdJeUdRZUc0YkFYRk1NeXdLLTZ4aWZqRTVDTENuRFo4bEdRQWJRbUp0OTlWNldSa1R3TzN5R2h6NW9aUUZhOURiMlZQNUFpV0ppdjZ5ZEkxemJzdWo0WkhwbEN2MnJoTWFJUTZMX29NX2VSUWxNcFQ1NW9fcjVWSnQweTVsZ3I?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,明報新聞網,7月27日
日本山形縣秋田縣持續暴雨 至少1死3失蹤 (15:10) - 20240726 - 國際,https://news.google.com/read/CBMi3wJBVV95cUxOMVpOMmhhYWZNLVg0aXZCcEEyYjltU2xBakJzeC1KMU0yZ192YVpLV1hBQ0ZkeUxXYUMyM0M1ajEtNlpxeDRLcDVXc2dEMmNIanl3aC1BNHpuNnNHX01MNlpVZ1cwS0JBQkN6SEw5TloyWUxTNlg2OEtYTVNldWNGZ2xrbWFsekZYMHpFbEJ5SV81aE9hcWtuTXpKUzlRSnZycENIZTl2Q09mYlJZcWVGYXhNYzFVaDY5ckxKWmRSN2hNRFJ5Um41RjhxVTctbzJEdlN5OThodXlIREJiUnlxT1RYUDczY1lhUDFiR2gxMTg2UG96c21ESmFHTl9VSG0tbEFqeFd4Qy05OTAxdU5iYmRWVklVcVJqcDlycXIwLWt0UXBmWXRqMERxUmZ5LU1YbnFuTTBOcHE2YkpScDI4ZlJsbXBfTk1XWXc1VjBjLXVRRm1mS2JMWno5X3M3Tzg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,明報新聞網,7月26日
受暴雨影響仁川機場至少25個航班取消- 國際,https://news.google.com/read/CBMicEFVX3lxTE40VlJvQ1VmVEw5SGVRQXA2VlFjR09KdFNwcGFmci0yS1V4Qi11S044dWJkcEliX2lJZjBoOFhSMTRkMmZ4Tjl0NF9LVHNFVlAwTlBocXh2Rjc5SXBVbGMwSTE3SVJwWGVWb09id05VdDA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,大公文匯新聞,7月18日
受暴雨影響日本東京都等地發出避難指示- 國際,https://news.google.com/read/CBMicEFVX3lxTE9vLVgtS2tVbFVBOTg5a0FpT2FCdy1NVVBCVXgxYnRsREIzODRXQlFkUTRiZTM3RDJ1OUJVZEN4OUI0ZXJTMGp3Nk9ENGVQaDNKZ3A5UWQwOFdraldpbXVYV1NSR20tM084cnY0bHVpTDY?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,大公文匯新聞,5 天前
加拿大多倫多暴雨引發洪水逾12萬人斷電- 國際,https://news.google.com/read/CBMiekFVX3lxTFBtcnp6SG9MZnV4TWlVR29URXlTUHhXUHBqdUd2XzdDSWoxaWJvY0tGbFNucjYzNzJpWm5SMThCN25HenRUcmNOeWRtck9pb1FENFJnYm5mVkc5dTRQZGo2czB1RHJrajFPY1MzYzFOMEJ5QlBMTXBodWZ3?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,點新聞,7月17日
全羅南道暴雨住宅汽車遭淹浸｜即時新聞｜國際,https://news.google.com/read/CBMi5wFBVV95cUxQUFhnMnRhUzFZcWNzRDh2NDJTNGJvZmRTNDFWdDJVWGJkWDhvRmFBZ21uYUl1RHRfYVJ0a0FpX3NHdHdIOTVIcXppOFExdGU2NkdrdjdjRGhWeUhXMjM4ZWpYekNuNWtQUlNSblhWRHY5XzlpWkU4dzdGR21DekN6WnBDR3oxckk3cThqbFE5U0dqN2NzSWN0Y0JPbFVhbTJJRlpsWWl4bW9haWhPeWFYX25rTnI3QVFLU290Q1RUSFZaXzlaanQ1anZTdDNOZi1odWpfMU5UYVFVeWd3d2o0bUxFeGlMaHM?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,on.cc東網,7月16日
首爾發布暴雨預警全市進入防禦狀態｜即時新聞｜國際,https://news.google.com/read/CBMijwFBVV95cUxQUVAwMjBOQU5mR0ljMU9TOGQydGQ4VFl1LS1rS1FKZHVkOWVDYW1hSkJ2X19Xdl84QlNVMWQ2UHdxSVYyWUhfYmhGLTJRSzdMSnMwaEJycWNOdThNS3Ntd2JUTlVKcmx0RU1rcVNyVVF5bExBU2pocmpkV1VsSlhRNFJJdktrODRfdGpRNHBXMA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,on.cc東網,7月17日
多倫多暴雨創歷史紀錄 洪水封城逾16萬戶停電｜有片,https://news.google.com/read/CBMi5wJBVV95cUxNeDhHZkZnMHgtSHdyMjdYckJiVV9hbmZOcWt0RHhHMkRkaGVRYzBrSGRBT1UtNUZWQ2Z3eU9zWnY2dXY2MndNNlQtYy1HSm1VNzBVZEhfb0xNeWNidnVqN25fbVBSOHRBb2FmR0R4cTR6Njh0bjBOeG5qdU1ZbG0yUzJQRlpwV1J6aGE4aW1HUGRnTzRoelFENThkWFUxdEZOcGw1TWIyWllfS0plV1o2VE9xZmRSZXoxaDItYmxIQlNYb0hKRFFOOVZlbVlTXzFEQW9KSFA1UndUMGxVMjZHanp4ZTJicjVqLVZSUjVIWlliaHZMUE9xTjZjcm5DZ2ZQN1BMT0ZmYWk0enNjTEJNN2hqZXlhRHRWNXVmX0hKZmZFa2RxYWpkOEhTVC1HWlg4bjk1VldoMmN6UXc4X2lBRU5RaV9KVERZUTA0R253ZmFkVVQybFJTc0o3Z3d0YkhxdDBVWXFVNA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,星島日報-美國版,7月16日
首都圈等地暴雨 仁川機場25航班停飛,https://news.google.com/read/CBMijwFBVV95cUxPX0J6T2dxWGFkaFZTbzdMdVk0dFlOdGRuZzRWNzRiWFAxT2R4ZTVVZFRoMmRNV01zSnVWeDFrSXBFOFh2bDlBWmF4dHVGWF8yYXVncG82cDBIUnhkdGJMZU9pMUItbWpZTEpDdzk4QW41bE1CUklMUWpnS2I4M2Jlc0ZXY1ktVmlIR0ZIV1BKMA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,on.cc東網,7月18日
熱浪襲關東至九州 東北及北海道持續暴雨,https://news.google.com/read/CBMijwFBVV95cUxPbGw4d1J1ajlkMjhuRjVrZmlXX2JIbHpJbU9DdjJaMjFncWs3THFkOWd2eTFUMEJjaS1nUEY2SGtLQXRLYzdxWVJaYTE2TV9ycG9ocDVWeEw4T0MzVXNnYl9FMGRVODkyVEtLQXBJYkx0TU9xZUJPM0w2c0R1QmlLbEhtbHNKVnBMd0ZVclkxOA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,on.cc東網,7月29日
多倫多暴雨創歷史記錄 洪水淹城16萬家庭停電,https://news.google.com/read/CBMizAJBVV95cUxPc19lemxiVUR3UFRISDVmbGdPZGR3QmdFZ21OckEyRG5oMHZNT1hNdHE0VVNqdGJuU0JGQWxXSmF2d2ZzZHlWdkoyS2lSMjQ2R0VUaG5WdUMzSXlaY1VBVHBxTTNEWkJ3MzlfTmE4WWNIWjB4c04zOVRmMndtaGxPRlczT3FydDRyQ25pUF8tY0lYTmtVN1JzUVAxbkFGakFjSW5neWxNc3QzQ3NCeWgwaGtYakZKY2Z3clF0ZmpYa1pXSHJPR3pUWXdyUWNTVGhYOFpwVllsTXR1OWdkVVRpQVFWZW5tUlowU3NRSkgtWDZfYWxHNGtQR2dXVUpCZjRPcWhYeXhFWm16Vk5Jc2NGWW02dEg3dXFYN0FLOEVPUVMxZkl4MWNGc2d6RUdMVTAtSnJXN3R5TFpmamZ0SDd6Nkl5UkM0N0hQTDktcQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,橙新聞,7月17日
受首都圈暴雨影響 南韓仁川機場25班國際航機取消,https://news.google.com/read/CBMib0FVX3lxTFAxeXBLRmtSVEo2Ny1vR0sxYmVHbWIzTjdyQW8wWGQwbkN4OHZlSnRNSXpQbElubW5kRUh5MGljWXRuak9YSFN5aGJyXzgwZlIxUV9FNm9SVkJBQnlRaUpFb2ZzY3ZVMlBOSDZZbi1BMA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,香港電台,7月18日
風暴瑪莉亞逼近東北地區迎強風暴雨｜即時新聞｜國際,https://news.google.com/read/CBMijwFBVV95cUxNc1JfeDRBSE1iOEtUNHlKdXdRQ1NaMExBRUJQODJyTjJXQkRMa1JidzU4aVpWdU9INU96c2oxNFRiaEc3a09FRDB6N203VHdwZm11TzB0eTBBYkpRcHVfa0xCWVFfQV9ISENvQ3p0UjRsb3RxY0t4dlo5YkNQQ1Fpa2dMeUVDLVc1alVVVHB3QQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,on.cc東網,18 小時前
連續4小時狂風暴雨 金邊頓成水鄉 - 国际 - 即时国际,https://news.google.com/read/CBMihAFBVV95cUxONDhfT1JmWVQyMlA1OVFsdTVwcktZMWxESEpaWklubzEyWGllNmhFU0Z6d0hpRzdROGZRVlpyT0pCY2l0ZlBybUlEdHNzREpDYUhiVkJScnVDajhFcDVkd0RKeTd6LWFsZ0ZPT2hoakppUzAyVFdZbExWUXljRmlNaTY5OC0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,星洲网,3 天前
烏干達一「垃圾山」因暴雨坍塌至少8人死亡- 國際 - 香港文匯網,https://news.google.com/read/CBMid0FVX3lxTE51RkUzNG5acmVOeWgtV2ZmYmw1YjhfRHVwQU5xWVA2dUFRZUlpUGUtTDQ5Y29kU1ZNQnkzcnFUMFRrSFNUNUNhYi00SWd4WUxMWDR3dWlqd04yTHRTeGx2T2NpWmpkTWQ5UUNLdjlfZGdTQlByaGJr?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,香港文匯網,昨天
中部暴雨水壩決堤淹沒房屋汽車｜即時新聞｜國際,https://news.google.com/read/CBMijwFBVV95cUxQRDIydTFVak9uSHJpNktuUnB2MWc2M2lFSnFmVXNMYnJNZlY2aUxCcGNYNzQ2OVJUZkQ4WlQtR2lDdkpKeGo3Z0o5S1h0UXFqRWM4cEVlMmFsb2oyZFlxdm5zVE4xbG9OS19PamQ1amtrdEstX28zdjlEVVZaa3VVVFh1Y3o2SkowaDVWNkdtcw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,on.cc東網,7月27日
越南北部暴雨成災至少7死｜國際｜商業電台 881903,https://news.google.com/read/CBMiXkFVX3lxTFBCaGxnc3dHOWdSMEV3ZmJwbi1yZ0hRMnMwV21zbWU4ZkhtX3Y3ZjhrWVpYU2tfYWoxVWgyYlRyanpGdElfR3lqSDZxUDY1aHE1UDJBLVE3VE5rU3lmZWfSAWNBVV95cUxOS0lzLWVjVVpYbUhMSzlFT2hRMS0xSUFZXzM3TTFiQjJrbjdHUnVvclJLZlp1bGMtWHdjem9QOE9TT1VEWUxTTHZuWUROcVJFbVp2cnE2X3oyQlkycXlnZ1NjU00?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,商業電台,7月25日
