標題,連結,內文,來源,時間
「第一代蘋概股」可成 家族公司被疑出清持股套現？,https://news.google.com/read/CBMiuwJBVV95cUxNZmxobnNDQTlOTERhWUxmUWdqY2hrWElhNUhKWUM2a3AwSF9zTmxBUTdGNENuU0taczRhdUgyQ3pCVXRQTGQ0RUlqLXBvMGplRXV4WlF5RFFKb1p2ejVORmpldmVwcm9CYV85amNDaHZuZ2p3ekJ2elZlcU9pa3lHaW5YZlZwWnZsN3lCc2JyZEp3djQzcDE5RUp4ZjhwV3Y2eG5tclJSdVFmcE4xOGVmSkdXdlZNLUJ2UzVROUVNc05sMXNQNm1CcnEyNmNvZkdDdlQ4cEM3SXdmX1o4WWJUbWtoMml3T2lFaFEydFkzTDl4MnRGRVRSb3laOXM5b1FwX1ktUnAwSkM0U3RVdnpaNS1vbmM4VWExSTRmVGlFNi1YNGpWd09OY0xlbENXaGNOQnFHZlhKdWZNMkE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"台南市 / 劉漢生 邱君萍 許富傑 報導
可成科技因為生產蘋果iPhone、iPad等產品的金屬機殼，挾帶著「第一代蘋概股」的光環，讓它從一家台南的小公司搖身一變，成為國際知名的科技公司，股價一度飆到每股386元，而目前股價還維持在約200元的水準，不過根據可成公司年報，董座洪水樹家族從2010年開始，就陸續出售手中的可成股票，甚至還被發現在台南市同一地址的一間民宅，前後就成立過15家公司，不免讓人質疑，洪水樹家族是否藉此操縱可成股價來套現。
5種粉嫩顏色，搭配首創的注色玻璃背板，iPhone 15超吸睛的外殼來自台灣的金屬機殼大廠「可成科技」，也因為生產蘋果iPhone、iPad等產品的金屬機殼，挾帶著「第一代蘋概股」的光環，讓它從一家台南的小公司搖身一變成為國際知名的科技公司，股價一度飆到每股386元，目前股價還維持在約200元的水準。
不過根據可成公司年報，董座洪水樹家族從2010年開始，就陸續出售手中的可成股票，從24.1％一路賣到2022年時只剩下8.2％，當時就有股東質疑，洪水樹家族護盤是，「人前喊買股人後真賣股」，甚至還被發現，在台南東區的同一地址前後成立了15家公司，實際走訪這個地址，是間4層樓透天厝，鄰居說這間洪水樹的起家厝，但已經很久都沒看到他在這裡出現過。
記者VS.洪水樹住家附近居民說：「很久沒看到他了20年沒看過他了，(喔20年了喔)對啊所以他應該不是住這裡。」很一般的透天民宅，沒有任何的公司招牌，卻在這個地址成立多家公司，目前解散就有凱思跟宏侑等4家，後來又成新公司，不尋常的操作，加上近日被爆出的內線交易事件，不免令人質疑，洪水樹家族藉此操縱可成科技的股價來套現，種種的巧合都是檢方要偵查的方向。
原始連結

更多華視新聞報導
可成5月營收回暖雙升 估首季為今年谷底
可成涉內線交易 董座千萬交保.其餘家屬500萬交保
可成科技爆發內線交易 董事長洪水樹千萬交保",Yahoo奇摩新聞,7月18日
北韓洪水為患 蒲亭表達慰問並願提供人道援助,https://news.google.com/read/CBMid0FVX3lxTE1pZTJOZVR5bWJmMUs4TDk1SXZaRHY4S1FjVk9OUlRMbkRmM0l2RjRkdGpEMjhadG9oaGVkVlk4UW5UVDZoei1wQkFfRTBYdERoSkNIbGdFTUIySWgwaHl2Z3FyWFMtUkdLOUt5XzRyMkFTTFAyVUFZ0gFfQVVfeXFMTzYzZGo0M3NUVks5d0dfZW4zVDdaQ0Rac1U3eUNLYWhwZmJXNXVYR01LYUxiSlUyODl2QXdkMmx5bDh5TmNhMDl0QTVieTEzNE1KYlZtTW9samRma1lMWXc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"克里姆林宮（Kremlin）昨天表示，北韓洪災造成數量不明的傷亡、數千間房屋受損，俄羅斯總統蒲亭已向北韓領導人金正恩表達慰問之意。
綜合法新社與路透社報導，北韓今天指出，蒲亭同時還表示願意對災後重建工作提供「立即的人道支持」。金正恩稱他「可以深深感受到對真正朋友的特殊情感」。
北韓本週表示，7月27日創紀錄的暴雨導致鄰近中國的北部地區發生洪災，房屋與大片農田淹水，死亡人數不詳。
根據北韓官媒中央通信社（KCNA）報導，最近幾天大雨襲擊西北部，導致4000多間房屋淹水，約5000名居民受困，金正恩親自視察災區並督導救援工作。
南韓負責兩韓交流事務的統一部1日表示，已準備好與北韓紅十字會討論救災事宜。這是南韓總統尹錫悅罕見對北韓伸出雙臂。
蒲亭在給金正恩的電報中說：「麻煩你向所有因暴風雨而失去親人的人，轉達慰問和支持。」
「您始終可以依靠我們的援助與支持。」
北韓中央通信社表示「莫斯科的慰問訊息昨天向北韓外交部轉達」，外交部立即呈報領袖金正恩。
金正恩感謝蒲亭伸出援手，同時表示「北韓備有應變措施，現階段已採取救災行動」。",經濟日報,8 天前
凱米重創亞洲 菲律賓暴雨成災 水深及頸 馬尼拉進入緊急狀態,https://news.google.com/read/CBMijwNBVV95cUxNN3B1R05DYW4wSUdmQy14bkQ0cGJHZVFYYlpBZnNzRjRJTk9yb2tkbDZRYS16bVBuSEhvWmN0MEhKVmFvWHJVdXV1V2VSU1JFSnpFLWFRams4ZzdfdWh4RjMtVDRwZkhaTEVrMG1OMm15NFFHanNDMWFVVHVyVFp0N0ZIVE5iT1ZucmhPZFN4SzFTY2d3ZDh5OWZJbXJ2VnM0SEp3SUpBeDZYX2pDUGVQZ0t3aWp3Q21qQmdkdGw5YUxvM2hteGZ2QlU5SjJrcFZIVVZoX09BejlKRjdjV1o3bllSSDhIZjQzeDgwaEZvUGdid19kU2M4NWlxS1NfQ2EteDJsdnNVRHAtWUxWdlA4dThzU0FaOGJHdi1zRF9HRDFLenM5UVVYU0xoWEdtaUdkWVpza3VTVFV1ZDM5QnNaTG9GQ2xvcFB1ZlA5QlhBMHN5ZHNfdGFYLXc3aWRuUlB3TkdvYnpGc1h6cWUtTmx6d2U3czJldkg5eWRJMkJMczdGYTJwUkk4anFjZjdrSG8?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"凱米颱風肆虐亞洲，為台灣、日本、菲律賓等地帶來強風豪雨，菲律賓首都馬尼拉及周圍城市暴雨成災，當局24日宣布進入緊急狀態，有些地方水淹深至頸部，已造成至少12死、逾60萬人流離失所。現場畫面可見，民眾試圖穿越水深及腰的街道，或在水中推著自行車前進，房舍幾乎滅頂、車輛受困洪水中，與此同時仍不斷降下大雨。
菲國逾百架航班宣告取消、金融市場也暫告關閉，總統小馬可仕下令協助偏遠地區救災，大馬尼拉地區16個城市已要求提撥緊急資金。每年平均有20個熱帶風暴襲擊菲律賓，帶來土石流與洪水等致命災情。另外，凱米也襲擊日本西南部島嶼，與那國島24日午後出現時速達180公里的陣風；在台灣，凱米也造成2死279傷，至24日晚間災情近3500件，凱米已於25日清晨出海，並減弱為中度颱風。",Yahoo奇摩新聞,7月24日
金正恩罕見為北韓洪災道歉 韓媒分析原因,https://news.google.com/read/CBMirAJBVV95cUxPeE9tS3NWMTRlQjhoQTB4SVR0bDRDT1lfYmdGQzNiSE5pMHU1YXRwQTJlZTJwOWUwUlUzX2JxSFZXNEhOV0ItNUcybk9WbW1HWVdkVTJwai1pM3VfUEVoUU44YTNfUUUteDJaVkFfN3Rtc21DMV9HRW9wdkU2eUx2VUd4U0FBRkx1QV9JT1pyYUhFbXlRNzlhMXZjMThLWTJTNThCelI2eXlSUWdrNWtXQzl6QU5OSkwwWno1RnJBcl9VdnRGeXljSS1nVDEtT3N5U0x6cTB2NmxKRnJXQmZNMkhOOW1YTzI2VDJ5dFhIU05xY3ZUYndRdGFwT0ZnVnhfSGhDZGV4T3ptU1hmMTd4S1JRWTdQNTRZeHp5V2pCZDFyeENTaWRVelJwQy0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"[NOWnews今日新聞] 北韓與中國邊界相連的地區7月遭遇暴雨，導致鴨綠江氾濫，平安北道義州郡等地洪災嚴重，數千人一度受困，上萬人無家可歸，金正恩日前還曾搭乘小艇勘災，畫面掀起全球討論。近日再度接連造訪災區，更稱「自己沒能幫上什麼忙」，北韓官媒不斷釋出民眾哭慘的畫面，韓媒解讀金正恩近期參與救災動作不斷的背後目的。
根據韓聯社報導，金正恩連日部署鴨綠江洪災災區重建工作，試圖彰顯其災難管理領導力。
在8日至9日，金正恩接連前往平安北道義州郡視察，在災區演說中道歉稱，「自己沒能幫上什麼忙」，並宣布將災區1萬5400名學童送到平壤避難。
洪災，甚至一度造成5000人受困，北韓領導人金正恩更是親自走訪淹水災區視察。金正恩8日至9日再度前往平安北道義州郡視察，他在災區演說中道歉稱，「自己沒能幫上什麼忙。」隨後宣布要將災區1萬5400名學童送到平壤避難。
金正恩稱，兒童和學生的文化和教育問題，是即使天塌下來也絕不能妥協的國家首要問題，將透過緊急應對方針和便利的環境中提供教育，費用由國家承擔，直到洪水受損地區建造新房為止。
報導提到，金正恩明確表示，北韓並不會接受國際人道援助，隨後他多次聲稱韓國媒體捏造洪水災害報導，並將矛頭指向韓國，強調北韓會「嚴正地與敵人作戰」，還稱「敵人繼續愚蠢地利用我們受害的機會來玷污我們國家的形象。 」
從北韓官方釋出的畫面可看到，當金正恩造訪為災區民眾臨時搭建的帳篷時，孩童與成人都不斷做出誇張遮臉哭泣的表情。
韓聯社分析，金正恩不斷親臨洪水現場並發表演說，加上與幼兒親密接觸凸顯「親情」；同時，一句「我們應該以此為契機，糾正我們的敵對觀點」，藉由批評韓國媒體報導凝聚意識。
此外，金正恩透過動員30萬人並宣稱這些人自願參與救災，韓國政治分析學者認為，金正恩的目的是透過展現救援的領導力來防止失去威信，並向外界證明他有能力在不獲得其他國家支持的情況下獨自應對局勢。
更多 NOWnews 今日新聞 報導
金正恩勘災「搭救生艇」險撞樹！危險畫面釋出 專家也直呼罕見
不是接班人！金正恩兒子藏海外留學 推愛女露面當「煙霧彈」
北韓在等川普回來重啟核談判！叛逃外交官：金正恩不太懂國際外交",Yahoo奇摩新聞,昨天
男砸錢買「以水擋水」堤防被笑傻 洪水來了僅他保住自家,https://news.google.com/read/CBMiWkFVX3lxTE9WbGNBS1V5eWpsR2QwREhqeFRtMUQtdk1Dd0UzLUV5ZjZ5Y0U1MDc1NW9hSFFKeGJzMzJEU3g0a2hOVmRhQzlEd3hiWEdKa3lPRDJvSkh2WjJBZ9IBX0FVX3lxTFBmR3RVYTdPelNWU0kta2VSTE1yTktYSFh2Y2thbXlpdUVhRDRJRjNXWmVPbVFUZm5fZFlOdkJtS1A2X2E3YVhEUHlhSHhsUXRZSVRwVHVST1ljOXBQVmk4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"洪水災情來得快又急，民眾想保護家園往往來不及反應。但在美國曾有一名男子未雨綢繆，上網看到一種能「以水擋水」的可填充式堤防，儘管要價不斐但他仍決定買下，起先還被鄰居笑是冤大頭。但後來洪水真的來襲，他趕緊在自家四周架起這種堤防，在鄰居家全淹成一片時，只有他成功阻止大水灌入自家。

美國德州休士頓電視台KHOU報導，2016年布拉佐里亞郡（Brazoria）遭遇水災，在因洪水而撤離與受損的數千戶家園中，只有一戶顯得安然無恙，空拍照看起來像是一座孤島。

當時布拉索斯河管理局警告居民將有大規模洪水，屋主瓦格納（Randy Wagner）決定賭一把，把他在網路上找到的「防水水壩」（AquaDam）派上用場。

他說：「由於不知道水會升到多高，我需要為沒人預見的事情做好準備。」瓦格納說他開車到路易斯安那州購買AquaDam，在兩名男子協助下，將122公尺長、76公分高的可填充塑膠堤防灌滿水。

洪水來襲時鄰居紛紛撤離，瓦格納與家人則留守在家，看著水淹到近70公分高，被堤防擋在外面。儘管這款產品當初花了他8300美元（約台幣27.2萬元），但瓦格納表示非常值得。

「當時大家都笑我是瘋子，但如今他們對這個AquaDam印象深刻，」瓦格納說，「8300美元對我而言只是小投資，因為屋裡本來可能淹進70公分深的水，得花15萬美元修復」。網友說，瓦格納用最委婉的說法回嗆他的鄰居：「看看現在是誰在笑？」

AquaDam官網列舉產品優點包括：快速設置與拆除；設置通常只需數小時，拆除則需約一天時間。節省成本：與沙包相比，人工與設備成本極低。環保意識：由原生樹脂高級聚乙烯和聚丙烯組成，幾乎不對環境造成任何影響。客製化：尺寸有5英尺（1.5公尺）以下到16英尺（4.8公尺）以上可供選擇。

不過該產品也並非萬能。2017年哈維颶風來襲，休士頓一位居民抱怨花了1萬3千美元（約台幣42.6萬）購買AquaDam，「(水位）在76公分內時表現很好，但後來漲到152公分，房子還是淹了」。

YT影片連結：https://youtu.be/ednxK3JPsWQ?si=CwV0SGejbeT9Ny2-
",經濟日報,7月25日
中國三個月內20起洪災 民間救援團體人力、資金面臨短缺,https://news.google.com/read/CBMi7AJBVV95cUxOdUlwM1IyemdPYTZaUFpYUFdqNFhtcTFSdjRqSmpQYWd5T2JHUkVTZG5hQ3FkM29MOGlaSHNuR0FLUzFBRy1FOThCeXlFVFVFQ2pyZjVVLVlNOXBxNWJrenZwM1NhSEhrX0t6RjNuV0dWdHpXQ19vY1kxbTFlNmsySnh2SFdqdDlleWVMY1dJa1VBVUtTcENlWDdvZENvS3NvUG0tb3ExTlAwVmNranFKeFBFY1lUZ29CZHZKTUVhXzVVVWJQWUFzQVdtWFFKc1RxOXdJaUNleTBWWlRrQ2dSOXQ2c2FPRktoTG14ZWZzUmZBdmZPTmlnOTJzZFUwUmctTXNzYXJ4bWlYdHBRWDQ4YXZxeXZidTRCZVlicGJhSjYxTW9uMzRDdE9rb05rTHhpcURlTjk0NDVlcHBreWpuSVA5ODdDWUQ0ZVpnQVo2LUNDVzhGdDdtd01xeGZfS0F5RHhWRkNlUFJqZ1o1?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中國今夏暴雨洪患不斷，三個月內已發生20起官方列入編號紀錄的洪災。鳳凰網報導，今夏中國超出警戒的洪水較往年同期多出一倍，救援人手、物資、公眾注意力都已出現缺口。
報導指出，中國氣象局4日已表示，中國的極端高溫和極端強降水事件正在趨多趨強，與全球持續暖化加劇氣候不確定性有關；中國水利部14日也表示，今年進入汛期以來，全國多流域連續已發生20次列入編號的洪水；預計7月16日至8月15日（俗稱「七上八下」）期間，七大江河流域也都可能發生洪水。
綠色和平組織（Greenpeace）北京辦公室氣候與能源計畫主任周楚涵指出，「極端天氣越來越頻繁，大家開始感到無力和疲憊，這會讓人們把頭轉向一邊。」
中國民間志願者團體「曙光救援隊」指揮長王剛更直言：「今年整個基金會的募款計畫都不好，有些都搞笑了，（只有）三位數（人民幣）。」
報導指出，「曙光救援」的神經一直處於高度緊繃狀態，該組織救援隊自6月17日起共參與了7場水災救援，共涵蓋福建、廣東、江西、湖南等省分。
其中最難的一天是7月2號，王剛以「全線告急」形容當天的情況：江西九江因人手嚴重短缺，不得不號召當地人回鄉抗洪；湖南平江遭洪水倒灌，淹沒近一半縣城；湖南汨羅更出現約30公尺的潰堤（三天後洞庭湖潰堤），當地人被迫將裝滿石頭的卡車駛入河中阻流。
王剛指出，更麻煩的是「七下八上」防汛關鍵期和颱風季還沒到來，支出已超過40萬元（人民幣，下同），而該組織全年備災資金也就50萬元。
到了7月13日，重慶暴雨引發的洪災已致6人死亡；四川中北部也發出「特大暴雨」預警。翌日，上月還處於大旱的河南南陽出現「超級暴雨」，三天內降下當地一年的平均雨量。
報導稱，由於災害不斷，中國的救援和公益圈獲得的關注、人力和資金支持也越來越不足。有網友評論，災難頻傳後，人們對苦難麻木了，「現在社會缺乏聯結感及共通感，大家都處於一種原子化狀態之下⋯⋯對遙遠的他人有著很深的隔膜」。
報導訪問多位中國民間公益團體人士，他們都表示今年各基金會獲得的捐贈相當慘淡，甚至有人以「斷崖式下降」形容，即使是一些社會關注度高的災害，獲得的捐贈也遠不如以往。
北京緣夢公益基金會緊急救援計畫部負責人王涵指出，今年基金會收到的捐款中，來自公眾的捐款佔80%-90%，以往約佔2成的企業捐款如今則「寥寥無幾」。該基金會去年的京津冀水災捐款計畫募得700多萬，今年截至7月15日，南方水災捐款計畫僅籌得45萬。
由基督徒志願者組成的「愛德基金會」主任譚花更指出，往年災害發生後，災區可立刻獲得足夠的礦泉水和泡麵，今年卻有好幾個災區要求提供泡麵、麵包等「應急方便食品」，令她感到訝異。
協助統籌救災的中國民間志工團體「卓明災害信息服務中心」（卓明信援）負責人郝南說，近年來中國每年約有20起水災達到需要公眾募捐的程度，但真正引起全國踴躍援助的水災只有2021年「7·20」河南鄭州暴雨和去年的京津冀水災。
他表示，有些災情訊息甚至沒能擴散。今年6月，黑龍江倭肯河、廣西崇左和百色都發生嚴重水災，但未在中國輿論場域留下什麼痕跡。
報導更指出，上月的湖南水災，華容縣因為洞庭湖決堤多次登上微博熱搜，但湖南平江縣的災情嚴重程度是華容縣的十幾倍；今年6月中旬廣東梅州、福建龍岩的水災範圍更廣，所需的救災賑濟資源是平江的好幾倍。
然而社會捐助與公眾關注度成正比，某些地方災情雖慘重，但可能因為沒有被「看見」，得不到足夠的支持。
報導指出，這些公益團體受訪者試圖整理「災情失焦」背後的原因，包括經濟環境、企業效益、災害麻木、信任危機等，但他們也都有默契地點到為止。
郝南指出，中國民間的水域救援是從2016、17年開始蓬勃發展，原因是水災越來越多。自2021年河南水災後，中國民間救援隊2000支增至4000多支。但培養一個專業合格的救援人員需要3至5年，他研判現在大多數救援人員「都不具備做救援的基本素質」。
他直言，這些不具備救援能力的人員根本不應出現在災害現場，「這麼多隊伍做著生死攸關的事情，卻沒有操作的標準，沒有技能的標準，也沒有現場指揮協調的標準」，會危及救援人員和被救人員的生命安全。
更多太報報導
陝西橋塌恐40多人遇難網轟豆腐渣 「廣東公路坍塌48死有調查結果了嗎？」
睡夢中來不及跑！四川雅安深夜山洪暴發 30多人失聯已尋獲8遺體
洞庭湖決堤第一時間丟棉被堵水！官方下封口令遭批「防民之口甚於防川」",Yahoo奇摩新聞,7月21日
金正恩再巡洪水災區 謝絕國際救援、宣布擬將1萬5千災民暫送平壤,https://news.google.com/read/CBMinANBVV95cUxOdTJMN3plcGYwOWFWNWc3MDIzQVdLckFQOXJiQmdsQ2RPMzJiWjJBU05zZVk3RU9ycHhacldfMzdoamZ5b2pianhsaTJ4MVJVZW1nTlZrcFU4N1djTVBqN0VxVFpLN3VIRmJvYkxSbmp6QjhkUWJkUExvczluUE9palZPeW05cktPTU5Fd3ZUcktQU1plc1l6M0VSTl9EaUNmY2FiVWhFajFrZGJUZmtYOUVWSGtCQ1hOZmEzcHpzVjZVNm5tRktqLUxJcGJYeFBtZDN5aElaUXhBdWdFV0FtUXE3aDVtaHRuY1gzR29fS0l2RFc2dzdIaU5mMUZKTDZRaXpHbkI2RFVWWjZ3ODFOV1I3cWQ1X3pnTTQ2Z1daRjI5WU42SGVHYmpVSTdhSkRaZ3BFeEMzdGMzUEpzWktFT2RRbGx4bzl2UllzaEtOVUZLaHdUUm1PVVhHcC1PeEJDc1Z3cnJZUUllU0VUWHdKLUotTFBHVU5FQmVRV1BnUEtsb3FOUGg0aEF1bTRGTG1Ga3RrVXlLb251M3dJ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"北韓官媒今（8／10）報導，領導人金正恩於8、9日，再度巡視發生大規模洪水災害的西北部地區。報導指出，金正恩慰問了在臨時帳棚的災民，並宣布計畫暫時將兒童與高齡者共計1萬5000名災民送往平壤避難，試圖強調金正恩的親民態度。不過，關於國際社會的人道救援，北韓依舊表示謝絕。
根據日本放送協會（NHK）報導，10日的朝鮮勞動黨機關報紙《勞動新聞》報導，北韓西北部的平安因7月下旬的大雨遭受損害，金正恩至9日止為期2天視察該區。
金正恩於災民面前演講表示「我感到非常抱歉」，並強調將投入13萬名軍人來加速修復。接著，他表示預計重建家園將花「至少2到3個月」，並計畫將老人與孩童等，合計逾1萬5000人送往平壤避難。
《勞動新聞》的報紙版面上，登載了金正恩於臨時帳棚內聆聽災民說話，以及抱著孩童的照片，藉此強調金正恩的親民態度。
另一方面，對於本次的災情，多個國家與國際組織已傳達援助意願，對此金正恩表示感謝，不過他他堅決拒絕，稱「我們將靠自己的力量開闢前途」，並強調重視國內團結。
更多太報報導
違反聯合國安理會制裁禁令 巴黎奧運送北韓手機要還？
北韓軍接收250輛新型飛彈發射車 金正恩：將升級核武力量
北韓洪災恐1500死！南韓想幫遭「已讀不回」 俄羅斯要幫一樣碰釘子",Yahoo奇摩新聞,2 天前
韓國梅雨季豪雨不斷 首都圈多處發布洪水警報,https://news.google.com/read/CBMiWkFVX3lxTE1NNEducFcyZlM1MTdZbmxPMGVncTRIdm1obnNfNzFBTzlxbEFHZjBWbWVXRjNIUnNOcHN3N2o3dzI1Y1JQQVJOVkpNN1JjTkpxMzFZWFNLQlFiUdIBX0FVX3lxTFBqRDVxLTRXb2gtSFVLbWczRUYxdWphLVR3OTFmZDRnU01UN2lfdnZvOTMwQjZFOXY2d0JBQkRsYklHbnZ0OEx0cUhBa1NqOF9HcU15UmxxRTlnZDc1d1dn?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"韓國梅雨季暴雨來勢洶洶，首爾市全域、仁川市等全國各地發布豪雨特報，首爾市、京畿道等多處首都圈地區都發布洪水特報，提醒民眾注意外出安全，並管制部分公路，加派人力避免暴雨帶來災情。
截至韓國時間上午10時為止，韓國氣象廳對首爾全市、仁川、京畿道大部分地區發布豪雨警報與豪雨注意報，表示降雨量可能在3小時內達到90釐米，或在12小時內達到180釐米以上；豪雨注意報地區降雨量則可能在3小時內達60釐米以上，或在12小時內達110毫米以上。
就京畿道東豆川市新川與坡州市汶山川發布的洪水注意報都已上調為「洪水警報」，並追加對首爾道林川、京畿道高陽市恭陵川、坡州市臨津江等多條河川發布洪水注意報。
依韓國警報標準，河川水位超過洪水位50%時發布洪水注意報，超過70%時則上調為洪水警報。發布豪雨特報地區河川皆會管制人員出入。
韓國中央災難安全對策本部表示，16日起以京畿道北部地區為中心降下連日豪雨，以坡州市降雨量最高，2天內達到約600釐米雨量，很有可能造成嚴重災情。當局將針對山地、河川、地下車道、半地下室住宅等容易出現災情地區迅速採取疏散人員等措施。
對策本部指出，梅雨季預期還將延續很長時間，要求中央部會與各地方政府等相關單位「為最糟的情況作好準備」，韓國行政安全部今早也在首爾等首都圈地區及忠清南道一帶發布豪雨警報後，上調中央災難安全對策本部等級至第2階段，並將豪雨危機警報從「注意」上調為「警戒」。",經濟日報,7月18日
阿富汗天災人禍 北部車禍17死、東部洪水47人喪生,https://news.google.com/read/CBMiWkFVX3lxTE9lUmpkdDNaNmluZkQ1c0g4R3gtUjBJSVdMM3ZQZDlSVFlHTnJKVW5mUEFHOTlDS25FUlNnMWRVeU5NSHZjZTlHdE9LWTFfSnlwak5MbHFmU190d9IBX0FVX3lxTE9NMlJMb3NhRFhhMWlDVmpoN0xyRklhYUdrYnJTWG9QNlR1YXhfV3UtM2xDazJxZ1UyUGVUdmhXbzE5alNSRVU0RFZBWEgxNWtTZ1pNVDM4aTdlaGNjellJ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"阿富汗天災人禍不斷，該國北部今天發生巴士翻覆事故，造成至少17死34傷，同日東部洪水災情增加至47死350傷。
阿富汗北部巴格蘭省（Baghlan）資訊與文化事務負責人哈希米（Mustafa Hashemi）告訴法新社，車禍地點位於一條連接首都喀布爾（Kabul）與該國北部的公路。
哈希米說，死者包括12名男性、2名女性及3名孩童。
另一方面，阿富汗東部的南加哈省（Nangarhar）昨晚出現劇烈暴風雨，造成樹木傾倒、建築物牆面和屋頂倒塌。
當地官員表示，這起天災的受害人數今天增至47人死亡、350人受傷。
南加哈省災害管理當局首長哈立德（SaifullahKhalid）證實上述傷亡人數，同時提到約有400棟民宅毀於洪水。
阿富汗5月一場暴洪也奪走數百人性命、淹沒大片農業用地。在阿富汗，80%人口仰賴農業維生。",經濟日報,7月16日
「第一代蘋概股」可成 家族公司被疑出清持股套現？,https://news.google.com/read/CBMiuwJBVV95cUxNZmxobnNDQTlOTERhWUxmUWdqY2hrWElhNUhKWUM2a3AwSF9zTmxBUTdGNENuU0taczRhdUgyQ3pCVXRQTGQ0RUlqLXBvMGplRXV4WlF5RFFKb1p2ejVORmpldmVwcm9CYV85amNDaHZuZ2p3ekJ2elZlcU9pa3lHaW5YZlZwWnZsN3lCc2JyZEp3djQzcDE5RUp4ZjhwV3Y2eG5tclJSdVFmcE4xOGVmSkdXdlZNLUJ2UzVROUVNc05sMXNQNm1CcnEyNmNvZkdDdlQ4cEM3SXdmX1o4WWJUbWtoMml3T2lFaFEydFkzTDl4MnRGRVRSb3laOXM5b1FwX1ktUnAwSkM0U3RVdnpaNS1vbmM4VWExSTRmVGlFNi1YNGpWd09OY0xlbENXaGNOQnFHZlhKdWZNMkE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"台南市 / 劉漢生 邱君萍 許富傑 報導
可成科技因為生產蘋果iPhone、iPad等產品的金屬機殼，挾帶著「第一代蘋概股」的光環，讓它從一家台南的小公司搖身一變，成為國際知名的科技公司，股價一度飆到每股386元，而目前股價還維持在約200元的水準，不過根據可成公司年報，董座洪水樹家族從2010年開始，就陸續出售手中的可成股票，甚至還被發現在台南市同一地址的一間民宅，前後就成立過15家公司，不免讓人質疑，洪水樹家族是否藉此操縱可成股價來套現。
5種粉嫩顏色，搭配首創的注色玻璃背板，iPhone 15超吸睛的外殼來自台灣的金屬機殼大廠「可成科技」，也因為生產蘋果iPhone、iPad等產品的金屬機殼，挾帶著「第一代蘋概股」的光環，讓它從一家台南的小公司搖身一變成為國際知名的科技公司，股價一度飆到每股386元，目前股價還維持在約200元的水準。
不過根據可成公司年報，董座洪水樹家族從2010年開始，就陸續出售手中的可成股票，從24.1％一路賣到2022年時只剩下8.2％，當時就有股東質疑，洪水樹家族護盤是，「人前喊買股人後真賣股」，甚至還被發現，在台南東區的同一地址前後成立了15家公司，實際走訪這個地址，是間4層樓透天厝，鄰居說這間洪水樹的起家厝，但已經很久都沒看到他在這裡出現過。
記者VS.洪水樹住家附近居民說：「很久沒看到他了20年沒看過他了，(喔20年了喔)對啊所以他應該不是住這裡。」很一般的透天民宅，沒有任何的公司招牌，卻在這個地址成立多家公司，目前解散就有凱思跟宏侑等4家，後來又成新公司，不尋常的操作，加上近日被爆出的內線交易事件，不免令人質疑，洪水樹家族藉此操縱可成科技的股價來套現，種種的巧合都是檢方要偵查的方向。
原始連結

更多華視新聞報導
可成5月營收回暖雙升 估首季為今年谷底
可成涉內線交易 董座千萬交保.其餘家屬500萬交保
可成科技爆發內線交易 董事長洪水樹千萬交保",Yahoo奇摩新聞,7月18日
